"date","start_time","end_time","date_time","nwsli","NWS_name","prec_in_1hr","prec_mm_1hr"
"2021-02-20","00:00","01:00","2021-02-20 01:00","MKAH1","Makaha Ridge",0,0
"2021-02-20","00:00","01:00","2021-02-20 01:00","PLRH1","Puu Lua",NA,NA
"2021-02-20","00:00","01:00","2021-02-20 01:00","WKRH1","Waiakoali (USGS)",0,0
"2021-02-20","00:00","01:00","2021-02-20 01:00","KLOH1","Kilohana (USGS)",0,0
"2021-02-20","00:00","01:00","2021-02-20 01:00","MCRH1","Mohihi Crossing (USGS)",0,0
"2021-02-20","00:00","01:00","2021-02-20 01:00","WLGH1","Waialae (USGS)",0,0
"2021-02-20","00:00","01:00","2021-02-20 01:00","WNHH1","Wainiha (HI41)",0,0
"2021-02-20","00:00","01:00","2021-02-20 01:00","HNIH1","Hanalei (HI45)",NA,NA
"2021-02-20","00:00","01:00","2021-02-20 01:00","WLLH1","Mount Waialeale (USGS)",0.06,1.524
"2021-02-20","00:00","01:00","2021-02-20 01:00","PRIH1","Princeville Airport",0.02,0.508
"2021-02-20","00:00","01:00","2021-02-20 01:00","MLDH1","Moloaa Dairy",NA,NA
"2021-02-20","00:00","01:00","2021-02-20 01:00","ANHH1","Anahola (12001)",0,0
"2021-02-20","00:00","01:00","2021-02-20 01:00","KPIH1","Kapahi (12003)",0,0
"2021-02-20","00:00","01:00","2021-02-20 01:00","WLDH1","N Wailua Ditch (USGS)",0.04,1.016
"2021-02-20","00:00","01:00","2021-02-20 01:00","WUHH1","Wailua (12005)",0.01,0.254
"2021-02-20","00:00","01:00","2021-02-20 01:00","LIHH1","Lihue Var. Stn. (12006)",0.01,0.254
"2021-02-20","00:00","01:00","2021-02-20 01:00","HLI","Lihue Airport",0,0
"2021-02-20","00:00","01:00","2021-02-20 01:00","POIH1","Poipu",NA,NA
"2021-02-20","00:00","01:00","2021-02-20 01:00","OMAH1","Omao (12004)",0,0
"2021-02-20","00:00","01:00","2021-02-20 01:00","KHEH1","Kalaheo (HI43)",0,0
"2021-02-20","00:00","01:00","2021-02-20 01:00","PAKH1","Port Allen",0,0
"2021-02-20","00:00","01:00","2021-02-20 01:00","HNPH1","Hanapepe (12002)",0,0
"2021-02-20","00:00","01:00","2021-02-20 01:00","POPH1","Puu Opae",0,0
"2021-02-20","00:00","01:00","2021-02-20 01:00","WHGH1","Waimea Heights",0,0
"2021-02-20","00:00","01:00","2021-02-20 01:00","WMTH1","Waimea Tank (12007)",0,0
"2021-02-20","00:00","01:00","2021-02-20 01:00","MNRH1","Mana",0,0
"2021-02-20","00:00","01:00","2021-02-20 01:00","KAHH1","Kahuku",0.04,1.016
"2021-02-20","00:00","01:00","2021-02-20 01:00","KTAH1","Kahuku Training Area",0,0
"2021-02-20","00:00","01:00","2021-02-20 01:00","KFWH1","Kii",NA,NA
"2021-02-20","00:00","01:00","2021-02-20 01:00","PUNH1","Punaluu Pump (13013)",0,0
"2021-02-20","00:00","01:00","2021-02-20 01:00","PNSH1","Punaluu Stream (USGS)",NA,NA
"2021-02-20","00:00","01:00","2021-02-20 01:00","KNRH1","Kahana (USGS)",0,0
"2021-02-20","00:00","01:00","2021-02-20 01:00","HAKH1","Hakipuu Mauka (13004)",0,0
"2021-02-20","00:00","01:00","2021-02-20 01:00","WPPH1","Waihee Pump (13002)",0,0
